feature_id,stratum
feat_sae_20260828_080834_39cc_11269,curated_E_homog
feat_sae_20260828_080834_39cc_22622,curated_E_hetero
feat_sae_20260828_080834_39cc_07601,curated_E_hetero
feat_sae_20260828_080834_39cc_16782,curated_E_hetero
feat_sae_20260828_080834_39cc_06239,curated_D_hetero
feat_sae_20260828_080834_39cc_20573,curated_E_hetero
feat_sae_20260828_080834_39cc_03402,curated_E_hetero
feat_sae_20260828_080834_39cc_03262,curated_E_hetero
feat_sae_20260828_080834_39cc_26591,curated_E_hetero
feat_sae_20260828_080834_39cc_10649,curated_E_hetero
feat_sae_20260828_080834_39cc_09332,reference
feat_sae_20260828_080834_39cc_03520,curated_E_hetero
feat_sae_20260828_080834_39cc_15420,curated_E_homog
feat_sae_20260828_080834_39cc_16102,curated_E_hetero
feat_sae_20260828_080834_39cc_12933,curated_E_homog
feat_sae_20260828_080834_39cc_02753,curated_E_hetero
feat_sae_20260828_080834_39cc_27924,curated_E_hetero
feat_sae_20260828_080834_39cc_09552,curated_E_homog
feat_sae_20260828_080834_39cc_18257,curated_E_homog
feat_sae_20260828_080834_39cc_12122,curated_E_hetero
feat_sae_20260828_080834_39cc_06578,curated_E_hetero
feat_sae_20260828_080834_39cc_15469,curated_E_hetero
feat_sae_20260828_080834_39cc_06300,curated_E_homog
feat_sae_20260828_080834_39cc_24189,curated_E_hetero
feat_sae_20260828_080834_39cc_12361,curated_E_hetero
feat_sae_20260828_080834_39cc_14219,curated_E_hetero
feat_sae_20260828_080834_39cc_02977,curated_E_hetero
feat_sae_20260828_080834_39cc_10628,curated_E_hetero
feat_sae_20260828_080834_39cc_02603,curated_E_mid
feat_sae_20260828_080834_39cc_28613,curated_E_hetero
feat_sae_20260828_080834_39cc_26680,curated_E_hetero
feat_sae_20260828_080834_39cc_06468,curated_E_hetero
feat_sae_20260828_080834_39cc_11975,curated_E_hetero
feat_sae_20260828_080834_39cc_19135,curated_E_hetero
feat_sae_20260828_080834_39cc_22694,curated_E_hetero
feat_sae_20260828_080834_39cc_06995,curated_E_hetero
feat_sae_20260828_080834_39cc_06210,curated_E_hetero
feat_sae_20260828_080834_39cc_24142,curated_E_hetero
feat_sae_20260828_080834_39cc_28087,curated_E_mid
feat_sae_20260828_080834_39cc_25379,curated_E_hetero
feat_sae_20260828_080834_39cc_10277,curated_E_hetero
feat_sae_20260828_080834_39cc_06738,curated_E_hetero
feat_sae_20260828_080834_39cc_21975,curated_E_homog
feat_sae_20260828_080834_39cc_21319,curated_E_hetero
